BuybackID,CustomerID,ItemID,WeightGram,BuybackRate,AmountPaid,Date,BranchID
1,238,41,42.28,54.51,2304.68,2024-06-28,3
2,816,21,8.01,56.3,450.96,2024-08-28,3
3,575,80,13.89,62.37,866.32,2024-09-30,1
4,9,87,20.91,52.5,1097.78,2024-04-15,4
5,253,65,34.89,51.3,1789.86,2024-04-05,5
6,439,96,2.43,54.37,132.12,2024-10-04,5
7,764,1,1.42,43.58,61.88,2024-05-03,3
8,308,95,25.51,52.26,1333.15,2024-12-26,5
9,787,61,45.11,56.19,2534.73,2025-03-24,2
10,240,11,12.21,59.14,722.1,2025-02-05,1
11,560,48,13.05,39.92,520.96,2024-08-23,5
12,184,6,27.94,35.83,1001.09,2024-09-07,4
13,263,93,1.48,59.3,87.76,2024-05-08,4
14,54,26,23.21,54.15,1256.82,2024-04-13,1
15,480,62,49.16,40.06,1969.35,2024-12-12,1
16,882,51,10.28,44.45,456.95,2025-01-09,1
17,548,73,45.96,48.74,2240.09,2024-10-15,2
18,484,74,42.61,49.18,2095.56,2024-04-17,3
19,758,79,48.38,52.24,2527.37,2024-04-29,5
20,13,23,26.84,54.91,1473.78,2024-06-18,1
21,321,59,44.89,36.28,1628.61,2024-12-25,2
22,661,74,48.12,53.56,2577.31,2025-01-20,4
23,353,59,25.88,43.51,1126.04,2024-12-20,4
24,10,22,4.22,47.63,201.0,2024-08-24,2
25,757,100,23.66,51.01,1206.9,2025-02-03,5
26,784,53,2.38,58.34,138.85,2024-07-10,4
27,555,45,24.09,50.86,1225.22,2024-10-18,3
28,381,62,7.62,45.76,348.69,2024-11-11,2
29,744,45,38.76,59.34,2300.02,2024-06-30,2
30,400,44,32.81,46.22,1516.48,2025-01-17,4
31,133,46,47.41,50.88,2412.22,2025-03-12,4
32,100,65,43.39,57.99,2516.19,2024-08-30,3
33,658,22,28.26,61.19,1729.23,2025-01-01,3
34,939,99,23.63,56.79,1341.95,2024-07-09,2
35,866,76,21.36,51.78,1106.02,2024-09-21,5
36,750,95,38.15,57.55,2195.53,2024-12-15,5
37,738,25,39.71,58.08,2306.36,2024-04-11,5
38,395,34,41.84,62.89,2631.32,2024-10-07,5
39,616,70,21.7,46.21,1002.76,2024-07-31,1
40,4,21,23.5,57.02,1339.97,2024-08-21,2
41,941,41,5.01,53.17,266.38,2024-08-09,1
42,211,88,4.87,41.59,202.54,2025-01-14,1
43,975,44,1.35,60.68,81.92,2024-12-06,1
44,695,38,29.58,35.28,1043.58,2025-01-10,5
45,530,3,31.28,55.64,1740.42,2024-12-31,3
46,985,83,45.65,37.84,1727.4,2024-05-31,4
47,869,63,33.29,38.37,1277.34,2024-07-26,4
48,352,30,48.81,42.88,2092.97,2024-07-19,1
49,755,50,38.58,36.1,1392.74,2024-07-06,2
50,387,35,42.49,46.46,1974.09,2024-07-09,5
51,816,99,10.06,52.75,530.67,2024-12-15,1
52,850,60,26.99,38.17,1030.21,2024-05-26,5
53,406,99,14.15,53.56,757.87,2025-01-20,2
54,282,95,21.51,59.69,1283.93,2024-04-20,4
55,959,45,37.63,57.14,2150.18,2024-09-14,4
56,317,88,6.75,49.91,336.89,2024-04-30,2
57,107,3,15.81,46.74,738.96,2024-07-20,1
58,13,12,28.98,49.76,1442.04,2024-04-09,1
59,989,94,18.14,61.95,1123.77,2024-07-09,1
60,813,72,7.86,52.24,410.61,2024-04-29,4
61,458,2,29.09,37.42,1088.55,2024-09-16,4
62,94,32,48.79,53.15,2593.19,2024-08-30,2
63,646,32,27.18,46.76,1270.94,2025-02-03,3
64,953,43,47.17,53.86,2540.58,2025-03-20,4
65,216,6,23.14,42.86,991.78,2024-09-14,3
66,62,41,39.8,58.4,2324.32,2024-08-15,3
67,387,87,10.51,58.08,610.42,2024-04-11,3
68,29,8,19.53,48.45,946.23,2024-11-20,4
69,408,37,5.88,41.81,245.84,2024-07-08,3
70,362,38,23.92,43.23,1034.06,2025-01-07,1
71,62,75,12.05,39.79,479.47,2025-02-23,5
72,804,56,45.77,58.4,2672.97,2025-02-12,5
73,827,13,4.98,42.88,213.54,2024-07-19,4
74,761,42,10.98,36.94,405.6,2024-10-29,3
75,958,25,31.94,60.88,1944.51,2024-07-12,3
76,282,66,47.36,37.14,1758.95,2024-12-05,1
77,320,78,44.72,50.45,2256.12,2024-05-31,2
78,695,93,46.37,55.74,2584.66,2024-07-08,4
79,171,48,25.94,43.71,1133.84,2025-01-06,1
80,962,49,27.1,38.16,1034.14,2025-03-12,3
81,939,84,41.3,53.56,2212.03,2025-01-20,4
82,636,8,29.7,61.53,1827.44,2024-12-16,2
83,453,61,31.32,49.0,1534.68,2024-12-18,2
84,199,100,6.17,54.34,335.28,2024-09-29,1
85,822,21,40.3,58.11,2341.83,2024-05-03,2
86,680,83,41.4,45.86,1898.6,2024-11-04,4
87,140,18,33.76,34.89,1177.89,2024-04-03,4
88,673,94,32.46,54.87,1781.08,2024-07-04,1
89,261,96,1.03,48.52,49.98,2024-06-19,1
90,732,54,37.68,41.18,1551.66,2025-02-20,2
