ItemID,Type,Karat,WeightGram,BasePrice,StockCount
1,Jewelry,18,88.02,52.92,32
2,Jewelry,18,62.12,68.0,98
3,Jewelry,22,30.65,68.7,94
4,Bullion,24,62.68,63.71,41
5,Bullion,24,86.11,63.21,26
6,Bullion,18,62.46,66.44,31
7,Jewelry,18,42.69,65.42,14
8,Jewelry,24,30.48,55.79,60
9,Jewelry,18,58.44,50.58,41
10,Jewelry,24,55.83,50.94,23
11,Bullion,24,7.15,56.48,78
12,Jewelry,24,96.91,61.82,58
13,Jewelry,22,26.88,51.74,55
14,Bullion,24,88.33,59.65,64
15,Jewelry,18,66.98,54.02,24
16,Jewelry,24,71.41,67.64,51
17,Bullion,24,4.36,60.83,87
18,Bullion,18,46.08,62.2,39
19,Jewelry,22,37.04,69.98,19
20,Bullion,24,84.9,68.63,52
21,Bullion,24,26.83,56.61,25
22,Jewelry,24,29.82,67.29,47
23,Bullion,22,51.03,58.67,39
24,Bullion,22,31.1,64.65,64
25,Bullion,24,19.69,67.56,88
26,Jewelry,24,82.75,65.84,96
27,Jewelry,24,55.4,69.76,88
28,Jewelry,22,3.35,66.91,19
29,Jewelry,24,50.79,65.1,33
30,Bullion,22,41.48,56.68,26
31,Jewelry,24,53.93,62.9,48
32,Jewelry,22,81.4,62.06,68
33,Jewelry,24,2.89,59.21,50
34,Jewelry,24,38.16,61.54,77
35,Jewelry,18,25.19,53.52,72
36,Jewelry,22,51.37,57.11,23
37,Bullion,18,35.63,58.24,82
38,Bullion,18,41.79,53.25,30
39,Jewelry,18,33.04,57.84,16
40,Bullion,22,56.33,65.39,94
41,Jewelry,24,11.48,54.44,91
42,Bullion,18,7.21,55.15,98
43,Jewelry,22,51.98,68.11,18
44,Bullion,24,87.41,60.72,39
45,Jewelry,24,81.05,65.44,76
46,Bullion,24,67.33,67.64,48
47,Jewelry,22,36.45,60.68,64
48,Jewelry,18,77.34,52.39,55
49,Jewelry,18,22.12,52.58,26
50,Jewelry,18,97.91,56.02,76
51,Jewelry,22,58.72,57.26,92
52,Jewelry,18,20.37,57.71,11
53,Bullion,24,66.34,66.13,75
54,Jewelry,18,88.91,67.8,46
55,Bullion,18,79.82,66.12,97
56,Jewelry,24,79.26,68.82,28
57,Jewelry,22,35.34,51.58,30
58,Bullion,18,87.82,60.5,96
59,Bullion,18,91.26,63.14,11
60,Bullion,18,22.07,57.56,90
61,Bullion,22,21.9,50.33,10
62,Jewelry,18,35.44,55.77,68
63,Bullion,18,93.33,69.25,77
64,Jewelry,24,79.3,57.49,75
65,Bullion,24,53.52,55.35,58
66,Jewelry,18,24.27,64.64,56
67,Bullion,22,26.14,54.58,70
68,Jewelry,24,53.87,55.16,54
69,Bullion,22,61.07,64.36,85
70,Bullion,24,82.86,56.34,74
71,Jewelry,18,2.54,65.67,73
72,Bullion,22,7.1,60.41,13
73,Bullion,22,69.62,63.63,18
74,Bullion,22,28.39,59.81,24
75,Bullion,18,49.19,68.2,27
76,Bullion,24,25.46,50.33,57
77,Bullion,24,59.7,56.7,78
78,Jewelry,24,80.61,59.07,78
79,Bullion,22,26.86,61.95,78
80,Bullion,24,62.84,61.55,40
81,Jewelry,24,4.08,63.73,81
82,Jewelry,24,50.96,51.63,90
83,Bullion,18,64.75,54.8,54
84,Jewelry,22,17.62,59.41,62
85,Bullion,18,58.99,52.31,85
86,Jewelry,22,19.72,52.88,11
87,Bullion,24,12.87,52.16,21
88,Bullion,22,9.78,53.41,11
89,Jewelry,24,6.9,51.03,42
90,Bullion,18,33.35,57.01,42
91,Bullion,24,98.19,56.73,12
92,Bullion,18,61.0,52.99,96
93,Jewelry,24,65.46,55.26,56
94,Bullion,24,99.54,60.26,14
95,Jewelry,24,34.27,67.96,86
96,Jewelry,22,42.57,53.67,42
97,Bullion,22,33.41,62.02,16
98,Bullion,22,25.94,60.41,88
99,Bullion,22,71.3,65.13,83
100,Bullion,24,44.07,69.22,44
