PricingID,Karat,MarketRatePerGram,EffectiveDate
1,18,42.71,2024-04-01
2,22,52.2,2024-04-01
3,24,56.95,2024-04-01
4,18,46.14,2024-04-02
5,22,56.39,2024-04-02
6,24,61.52,2024-04-02
7,18,38.77,2024-04-03
8,22,47.38,2024-04-03
9,24,51.69,2024-04-03
10,18,42.6,2024-04-04
11,22,52.07,2024-04-04
12,24,56.8,2024-04-04
13,18,42.75,2024-04-05
14,22,52.25,2024-04-05
15,24,57.0,2024-04-05
16,18,48.96,2024-04-06
17,22,59.84,2024-04-06
18,24,65.28,2024-04-06
19,18,37.82,2024-04-07
20,22,46.23,2024-04-07
21,24,50.43,2024-04-07
22,18,47.59,2024-04-08
23,22,58.17,2024-04-08
24,24,63.45,2024-04-08
25,18,41.47,2024-04-09
26,22,50.68,2024-04-09
27,24,55.29,2024-04-09
28,18,48.09,2024-04-10
29,22,58.78,2024-04-10
30,24,64.12,2024-04-10
31,18,48.4,2024-04-11
32,22,59.15,2024-04-11
33,24,64.53,2024-04-11
34,18,48.21,2024-04-12
35,22,58.93,2024-04-12
36,24,64.29,2024-04-12
37,18,45.13,2024-04-13
38,22,55.16,2024-04-13
39,24,60.17,2024-04-13
40,18,41.62,2024-04-14
41,22,50.86,2024-04-14
42,24,55.49,2024-04-14
43,18,43.75,2024-04-15
44,22,53.47,2024-04-15
45,24,58.33,2024-04-15
46,18,50.91,2024-04-16
47,22,62.23,2024-04-16
48,24,67.89,2024-04-16
49,18,44.71,2024-04-17
50,22,54.64,2024-04-17
51,24,59.61,2024-04-17
52,18,49.75,2024-04-18
53,22,60.8,2024-04-18
54,24,66.33,2024-04-18
55,18,42.57,2024-04-19
56,22,52.03,2024-04-19
57,24,56.75,2024-04-19
58,18,49.74,2024-04-20
59,22,60.79,2024-04-20
60,24,66.32,2024-04-20
61,18,41.38,2024-04-21
62,22,50.58,2024-04-21
63,24,55.17,2024-04-21
64,18,43.12,2024-04-22
65,22,52.7,2024-04-22
66,24,57.49,2024-04-22
67,18,49.79,2024-04-23
68,22,60.85,2024-04-23
69,24,66.38,2024-04-23
70,18,50.57,2024-04-24
71,22,61.81,2024-04-24
72,24,67.43,2024-04-24
73,18,52.12,2024-04-25
74,22,63.71,2024-04-25
75,24,69.5,2024-04-25
76,18,51.32,2024-04-26
77,22,62.72,2024-04-26
78,24,68.43,2024-04-26
79,18,40.03,2024-04-27
80,22,48.92,2024-04-27
81,24,53.37,2024-04-27
82,18,40.23,2024-04-28
83,22,49.17,2024-04-28
84,24,53.64,2024-04-28
85,18,47.49,2024-04-29
86,22,58.05,2024-04-29
87,24,63.32,2024-04-29
88,18,45.38,2024-04-30
89,22,55.46,2024-04-30
90,24,60.5,2024-04-30
91,18,42.46,2024-05-01
92,22,51.9,2024-05-01
93,24,56.62,2024-05-01
94,18,48.21,2024-05-02
95,22,58.92,2024-05-02
96,24,64.28,2024-05-02
97,18,48.42,2024-05-03
98,22,59.19,2024-05-03
99,24,64.57,2024-05-03
100,18,51.77,2024-05-04
101,22,63.28,2024-05-04
102,24,69.03,2024-05-04
103,18,38.22,2024-05-05
104,22,46.71,2024-05-05
105,24,50.96,2024-05-05
106,18,42.14,2024-05-06
107,22,51.5,2024-05-06
108,24,56.18,2024-05-06
109,18,41.43,2024-05-07
110,22,50.63,2024-05-07
111,24,55.24,2024-05-07
112,18,49.42,2024-05-08
113,22,60.4,2024-05-08
114,24,65.89,2024-05-08
115,18,46.08,2024-05-09
116,22,56.32,2024-05-09
117,24,61.44,2024-05-09
118,18,39.35,2024-05-10
119,22,48.09,2024-05-10
120,24,52.47,2024-05-10
121,18,49.72,2024-05-11
122,22,60.76,2024-05-11
123,24,66.29,2024-05-11
124,18,42.69,2024-05-12
125,22,52.18,2024-05-12
126,24,56.92,2024-05-12
127,18,49.06,2024-05-13
