TransactionID,CustomerID,ItemID,Quantity,TransactionType,RatePerGram,TotalAmount,TransactionDate,StaffID,BranchID
1,554,40,1,Buy,57.554703790104355,3242.06,2024-04-26,20,5
2,740,54,5,Sell,56.07028833491161,24926.05,2024-12-19,7,5
3,82,80,3,Buy,59.5329017967003,11223.14,2024-04-30,16,5
4,147,67,5,Sell,58.604713441842165,7659.64,2024-08-01,12,5
5,499,58,5,Sell,52.85702938711553,23209.52,2024-11-14,39,5
6,745,77,4,Sell,50.1188438043244,11968.38,2024-04-29,15,1
7,482,63,1,Sell,52.33033123952023,4883.99,2024-05-30,18,4
8,242,98,4,Sell,58.980135472046726,6119.78,2024-08-03,17,3
9,299,64,5,Sell,68.18907078845807,27036.97,2024-11-07,46,1
10,353,25,2,Sell,63.785782307903375,2511.88,2024-12-04,40,3
11,940,91,4,Buy,60.044314841052696,23583.01,2024-08-25,16,2
12,230,79,1,Sell,53.19321241970999,1428.77,2024-12-16,47,1
13,42,80,2,Sell,53.574781893205106,6733.28,2024-07-17,24,5
14,363,79,2,Buy,52.53834890233404,2822.36,2024-10-12,35,5
15,977,98,1,Sell,53.93541899178113,1399.08,2025-02-25,29,4
16,322,88,3,Sell,56.00728753123517,1643.25,2024-05-12,45,4
17,701,35,5,Buy,61.87467192909301,7793.11,2024-10-31,37,2
18,66,13,2,Sell,53.98803708038545,2902.4,2024-09-19,14,5
19,754,16,1,Sell,55.97113397505126,3996.9,2024-10-13,4,1
20,407,93,5,Buy,57.15185295016784,18705.8,2024-05-07,23,4
21,727,16,2,Sell,52.14602517611014,7447.5,2024-09-13,49,3
22,87,34,1,Sell,54.905541028139595,2095.2,2025-01-13,50,1
23,926,42,5,Sell,63.674344544126036,2295.46,2024-08-24,41,4
24,304,87,1,Sell,64.89201177907299,835.16,2025-02-19,43,3
25,268,37,2,Buy,50.69338938651773,3612.41,2024-07-01,45,2
26,832,13,1,Buy,64.19884094418862,1725.66,2025-02-08,32,4
27,276,92,2,Buy,62.450765000422464,7618.99,2024-12-11,15,3
28,377,67,5,Buy,56.18652998865555,7343.58,2024-11-29,34,4
29,13,16,4,Sell,56.49567627727624,16137.42,2025-02-13,31,2
30,584,75,5,Buy,60.385319371204915,14851.77,2024-10-08,49,1
31,580,11,5,Sell,59.70820007527446,2134.57,2024-11-04,26,2
32,601,33,4,Buy,63.105720953218885,729.5,2024-08-06,9,3
33,705,89,2,Sell,59.76097882525241,824.7,2024-05-12,7,1
34,793,8,4,Sell,55.677623453622,6788.22,2024-11-04,2,4
35,981,70,1,Buy,59.41890458335626,4923.45,2024-08-05,49,5
36,36,76,1,Sell,69.65931841101983,1773.53,2025-01-25,35,3
37,986,20,1,Buy,60.00346860025928,5094.29,2025-03-26,9,2
38,867,34,5,Buy,65.13712344004007,12428.16,2025-03-16,6,1
39,573,29,3,Buy,50.91113732444681,7757.33,2024-09-11,22,3
40,839,24,1,Buy,57.69226294823112,1794.23,2025-02-08,6,5
41,626,79,1,Sell,50.492614369976764,1356.23,2025-03-25,27,4
42,87,15,2,Buy,53.86866338522162,7216.25,2024-07-07,18,4
43,58,66,2,Buy,60.94358546897441,2958.2,2024-09-14,29,3
44,302,54,3,Buy,58.42859673832811,15584.66,2024-09-21,41,4
45,315,6,1,Sell,61.87280483448261,3864.58,2024-05-17,33,1
46,113,6,1,Buy,65.633613484216,4099.48,2025-03-13,17,2
47,781,59,5,Buy,54.62892695761177,24927.18,2024-12-09,28,1
48,693,79,2,Buy,63.63138312992512,3418.28,2024-11-12,2,5
49,228,56,5,Buy,65.5280696297218,25968.77,2024-06-04,36,5
50,978,60,4,Buy,60.69595451060902,5358.24,2024-06-20,50,1
51,506,100,4,Buy,64.2316126225524,11322.75,2025-02-10,31,5
52,84,76,2,Sell,59.88692822688746,3049.44,2024-12-11,11,4
53,414,83,1,Sell,52.456385289702524,3396.55,2024-11-08,34,5
54,628,38,1,Buy,51.07810271429628,2134.55,2024-11-22,13,4
55,896,36,4,Sell,69.40740646270605,14261.83,2024-04-19,12,5
56,298,49,2,Buy,69.07670959175535,3055.95,2025-02-08,47,3
57,595,71,2,Sell,55.45113413873878,281.69,2025-03-23,11,3
58,194,83,3,Sell,50.886555302827624,9884.71,2024-12-25,35,4
59,936,88,4,Sell,51.213901139197986,2003.49,2024-08-28,28,3
60,543,11,2,Buy,66.22965971131566,947.08,2024-08-01,2,3
61,988,80,3,Sell,62.20673898233439,11727.21,2024-04-30,22,5
62,178,21,1,Buy,67.3704556991062,1807.55,2024-05-10,15,3
63,921,61,4,Sell,55.82219565147879,4890.02,2024-08-28,41,5
64,735,94,1,Buy,50.43886546767311,5020.68,2025-03-19,16,5
65,214,43,4,Buy,63.554824765110254,13214.32,2024-09-30,36,5
66,526,34,3,Buy,58.34493341458824,6679.33,2025-01-02,22,5
67,453,77,2,Buy,62.32941340264448,7442.13,2024-11-29,15,4
68,681,35,1,Buy,69.8483907679018,1759.48,2025-01-18,20,3
69,133,44,4,Sell,64.21467599205734,22452.02,2024-12-16,17,5
70,553,61,1,Buy,66.22988455382719,1450.43,2025-02-27,6,4
71,275,42,4,Sell,60.29871731660246,1739.02,2025-01-23,5,2
72,196,47,1,Buy,52.45028171330932,1911.81,2024-09-01,10,5
73,289,5,4,Sell,61.920760770560626,21327.99,2025-03-25,33,4
74,393,24,5,Sell,60.08769039742991,9343.64,2024-11-06,28,3
75,720,84,5,Buy,65.61591494204771,5780.76,2025-01-06,15,1
76,561,17,1,Buy,55.67233134218705,242.73,2024-08-19,3,2
77,696,3,1,Buy,54.91979546621843,1683.29,2024-10-27,1,5
78,984,94,1,Buy,63.23126316355583,6294.04,2024-06-20,25,5
79,262,41,3,Sell,65.07765781497,2241.27,2024-05-17,26,4
80,143,8,2,Buy,68.93585843671625,4202.33,2024-09-30,42,3
81,129,98,2,Buy,67.79303945086467,3517.1,2024-07-16,11,1
82,428,85,3,Buy,51.034388643776914,9031.56,2024-04-26,45,5
83,795,34,5,Buy,50.261403170358896,9589.88,2024-11-19,45,2
84,973,24,3,Sell,59.895906882065944,5588.29,2024-05-09,30,1
85,845,36,3,Buy,53.680953051751885,8272.77,2024-11-22,36,2
86,132,34,5,Sell,61.72513938824905,11777.16,2024-07-21,3,2
87,452,75,2,Buy,68.57890430636883,6746.79,2024-12-03,30,1
88,349,91,5,Sell,53.47347464938902,26252.8,2024-08-22,35,3
89,355,26,4,Sell,56.13725465839423,18581.43,2024-10-02,9,2
90,518,8,2,Buy,55.162377983233576,3362.7,2024-07-24,11,3
91,569,65,4,Buy,55.413136929741164,11862.84,2024-04-16,2,2
92,616,63,4,Sell,51.90637323507818,19377.69,2024-07-21,20,4
93,518,8,3,Sell,58.2117627473534,5322.88,2024-05-21,4,3
94,506,59,1,Buy,51.60447085056549,4709.42,2024-06-15,6,1
95,677,86,3,Sell,64.22284997955279,3799.42,2024-08-01,24,4
96,204,76,1,Buy,61.28406815206875,1560.29,2024-08-02,33,2
97,619,65,1,Buy,51.19327881909188,2739.86,2024-11-18,4,1
98,871,58,1,Buy,58.32136129885161,5121.78,2024-06-26,40,3
